      1964.29     -30.0000     -3.00000     -6.00000     -11.0000     -14.0000
      1965.60     -32.0000     -5.00000     -4.00000     -7.00000     -14.0000
      1966.90     -31.0000     -7.00000     -5.00000     -10.0000     -8.00000
      1968.20     -30.0000     -6.00000     -8.00000     -9.00000     -9.00000
      1969.50     -24.0000     -5.00000     -6.00000     -7.00000     -8.00000
      1970.81     -30.0000     -7.00000     -6.00000     -9.00000     -14.0000
      1972.11     -31.0000     -6.00000     -7.00000     -11.0000     -14.0000
      1973.41     -29.0000     -4.00000      2.00000     -12.0000     -11.0000
      1974.71     -26.0000     -4.00000     -6.00000     -10.0000     -16.0000
      1976.02     -22.0000     -10.0000     -7.00000     -13.0000     -12.0000
      1977.32     -29.0000     -7.00000     -5.00000     -12.0000     -10.0000
      1978.62     -23.0000     -1.00000     -4.00000     -12.0000     -14.0000
      1979.93     -21.0000     -5.00000     -7.00000     -5.00000     -9.00000
      1981.23     -20.0000     -4.00000     -7.00000     -13.0000     -11.0000
      1982.53     -26.0000     -3.00000     -8.00000     -9.00000     -7.00000
      1983.84     -26.0000     -4.00000     -7.00000     -11.0000     -10.0000
      1985.14     -29.0000     -6.00000     -3.00000     -11.0000     -14.0000
      1986.44     -25.0000     -2.00000     -6.00000     -5.00000     -10.0000
      1987.75     -24.0000     -9.00000     -3.00000     -10.0000     -6.00000
      1989.05     -27.0000     -4.00000     -9.00000     -11.0000     -10.0000
      1990.36     -24.0000     -5.00000     -3.00000     -6.00000     -12.0000
      1991.66     -26.0000     -5.00000     -7.00000     -9.00000     -14.0000
      1992.96     -32.0000     -3.00000     -4.00000     -9.00000     -6.00000
      1994.27     -23.0000     -3.00000     -2.00000     -8.00000     -11.0000
      1995.57     -29.0000     -3.00000     -7.00000     -10.0000     -8.00000
      1996.88     -30.0000     -8.00000     -3.00000     -12.0000     -8.00000
      1998.18     -25.0000     -1.00000     -7.00000     -11.0000     -4.00000
      1999.48     -30.0000     -6.00000     -4.00000     -9.00000     -10.0000
      2000.79     -27.0000     -4.00000     -3.00000     -10.0000     -10.0000
      2002.09     -24.0000     -5.00000     -6.00000     -10.0000     -8.00000
      2003.40     -26.0000     -1.00000     -2.00000     -12.0000     -9.00000
      2004.70     -31.0000     -6.00000     -5.00000     -13.0000     -13.0000
      2006.01     -27.0000     -3.00000     -6.00000     -9.00000     -8.00000
      2007.31     -24.0000     -3.00000     -4.00000     -9.00000     -10.0000
      2008.62     -21.0000     -2.00000     -4.00000     -11.0000     -14.0000
      2009.92     -24.0000     -7.00000     -6.00000     -8.00000     -6.00000
      2011.23     -26.0000     -7.00000     -3.00000     -9.00000     -5.00000
      2012.53     -22.0000     -3.00000     -6.00000     -15.0000     -8.00000
      2013.84     -28.0000     -1.00000     -6.00000     -9.00000     -6.00000
      2015.14     -28.0000     -6.00000     -4.00000     -9.00000     -8.00000
      2016.45     -28.0000     -2.00000     -4.00000     -9.00000     -6.00000
      2017.75     -26.0000     -6.00000     -5.00000     -7.00000     -14.0000
      2019.06     -28.0000     -2.00000     -6.00000     -11.0000     -8.00000
      2020.36     -27.0000     -6.00000     -5.00000     -12.0000     -9.00000
      2021.67     -27.0000     -3.00000     -11.0000     -14.0000     -12.0000
      2022.97     -25.0000     -10.0000     -7.00000     -12.0000     -8.00000
      2024.28     -25.0000     -3.00000     -4.00000     -10.0000     -7.00000
